3 Bion | Vitamin B1, B6 & B12 | Tablet | 100 mg+200 mg+200 mcg | Jenphar Bangladesh Ltd.
Actrapid | Insulin Human [rDNA] | SC Injection | 40 IU/ml | Novo Nordisk Pharma (Pvt.) Ltd
Actrim | Sulphamethoxazole + Trimethoprim | Oral Suspension | (200 mg+40 mg)/5 ml | Globe Pharmaceuticals Ltd.
Actrim-DS | Sulphamethoxazole + Trimethoprim | Tablet | 800 mg+160 mg | Globe Pharmaceuticals Ltd.
Actulose | Lactulose | Oral Solution | 3.35 gm/5 ml | Silva Pharmaceuticals Ltd.
Acubis | Bisoprolol Hemifumarate | Tablet | 5 mg | Concord Pharmaceuticals Ltd.
Acubis | Bisoprolol Hemifumarate | Tablet | 2.5 mg | Concord Pharmaceuticals Ltd.
Acudipin | Amlodipine Besilate | Tablet | 5 mg | Concord Pharmaceuticals Ltd.
Acudipin Plus | Amlodipine Besilate + Atenolol | Tablet | 5 mg+50 mg | Concord Pharmaceuticals Ltd.
Aculizer | Inhaler device | Inhaler |  | ACI Limited
Acunac | Bromfenac Sodium | Ophthalmic Solution | 0.09% | General Pharmaceuticals Ltd.
Acupain | Ketorolac Tromethamine | Tablet | 10 mg | Beacon Pharmaceuticals Ltd.
Acupain | Ketorolac Tromethamine | IM/IV Injection | 30 mg/ml | Beacon Pharmaceuticals Ltd.
Acuren | Hydrochlorothiazide | Tablet | 25 mg | Incepta Pharmaceuticals Ltd.
Acuren | Hydrochlorothiazide | Tablet | 50 mg | Incepta Pharmaceuticals Ltd.
Acusan | Losartan Potassium | Tablet | 50 mg | Concord Pharmaceuticals Ltd.
Acusan Plus | Losartan Potassium + Hydrochlorothiazide | Tablet | 50 mg+12.5 mg | Concord Pharmaceuticals Ltd.
Acyvir | Acyclovir (Injection) | IV Infusion | 250 mg/vial | Aristopharma Ltd.
Acyvir | Acyclovir (Injection) | IV Infusion | 500 mg/vial | Aristopharma Ltd.
Acyvir | Acyclovir (Ophthalmic) | Ophthalmic Ointment | 3% | Aristopharma Ltd.
Ad-All | Iron + Folic Acid + Vitamin B Complex + Vitamine C + Zinc Sulfate | Capsule |  | Ad-din Pharmaceuticals Ltd.
Adaben Duo | Adapalene + Benzoyl peroxide | Gel | 0.1%+2.5% | Incepta Pharmaceuticals Ltd.
Adafil | Tadalafil | Tablet | 10 mg | Beximco Pharmaceuticals Ltd.
Adafil | Tadalafil | Tablet | 20 mg | Beximco Pharmaceuticals Ltd.
Adagel Plus | Adapalene + Benzoyl peroxide | Gel | 0.1%+2.5% | UniMed UniHealth Pharmaceuticals Ltd.
Adair | Roflumilast | Tablet | 500 mcg | ACI Limited
Adalimab | Adalimumab | SC Injection | 40 mg/0.8 ml | Healthcare Pharmaceuticals Ltd.
Adam 33 | Prednisolone | Tablet | 5 mg | Nuvista Pharma Ltd.
Adam 33 | Prednisolone | Tablet | 20 mg | Nuvista Pharma Ltd.
Adapel | Adapalene | Cream | 0.1% | Healthcare Pharmaceuticals Ltd.
Adarbi | Azilsartan Medoxomil | Tablet | 40 mg | NIPRO JMI Pharma Ltd.
Adarbi | Azilsartan Medoxomil | Tablet | 80 mg | NIPRO JMI Pharma Ltd.
Adcal D | Calcium Carbonate [Elemental source] + Vitamin D3 | Tablet | 500 mg+200 IU | Amulet Pharmaceuticals Ltd.
Adcovit | Vitamin B complex | Syrup |  | Team Pharmaceuticals Ltd.
Adebrox | Ambroxol Hydrochloride | Syrup | 15 mg/5 ml | Supreme Pharmaceutical Ltd.
Adecard | Adenosine | IV Injection | 6 mg/2 ml | Popular Pharmaceuticals Ltd.
Adecef | Cephradine | Capsule | 500 mg | Supreme Pharmaceutical Ltd.
Adecef | Cephradine | Powder for Suspension | 125 mg/5 ml | Supreme Pharmaceutical Ltd.
Adecef DS | Cephradine | Powder for Suspension | 250 mg/5 ml | Supreme Pharmaceutical Ltd.
Adecin | Ciprofloxacin | Tablet | 500 mg | Supreme Pharmaceutical Ltd.
Adegra | Sildenafil Citrate | Tablet | 50 mg | ACI Limited
Adegra | Sildenafil Citrate | Tablet | 100 mg | ACI Limited
Adegra | Sildenafil Citrate | Tablet | 25 mg | ACI Limited
Adegut | Domperidone Maleate | Tablet | 10 mg | Supreme Pharmaceutical Ltd.
Adegut | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Supreme Pharmaceutical Ltd.
Adelax | Flupentixol + Melitracen | Tablet | 0.5 mg+10 mg | ACI Limited
Adempa | Empagliflozin | Tablet | 10 mg | UniMed UniHealth Pharmaceuticals Ltd.
Adempa | Empagliflozin | Tablet | 25 mg | UniMed UniHealth Pharmaceuticals Ltd.
Adetil | Cefuroxime Axetil | Tablet | 250 mg | Supreme Pharmaceutical Ltd.
Adetil | Cefuroxime Axetil | Tablet | 500 mg | Supreme Pharmaceutical Ltd.
Adexim | Cefixime Trihydrate | Capsule | 200 mg | Supreme Pharmaceutical Ltd.
Adexim | Cefixime Trihydrate | Powder for Suspension | 100 mg/5 ml | Supreme Pharmaceutical Ltd.
Adflox | Flucloxacillin Sodium | Capsule | 500 mg | Team Pharmaceuticals Ltd.
Adgar | Adapalene | Gel | 0.1% | ACI Limited
Adgar | Adapalene | Gel | 0.3% | ACI Limited
Adglim | Glimepiride | Tablet | 1 mg | UniMed UniHealth Pharmaceuticals Ltd.
Adglim | Glimepiride | Tablet | 2 mg | UniMed UniHealth Pharmaceuticals Ltd.
Adifex | Fexofenadine Hydrochloride | Tablet | 120 mg | United Pharmaceuticals Ltd.
Adinir | Cefdinir | Capsule | 300 mg | ACME Laboratories Ltd.
Adinir | Cefdinir | Powder for Suspension | 125 mg/5 ml | ACME Laboratories Ltd.
Adipal Plus | Adapalene + Benzoyl peroxide | Gel | 0.1%+2.5% | Guardian Healthcare Ltd.
Adiponil | Orlistat | Capsule | 120 mg | Incepta Pharmaceuticals Ltd.
Adiva | Efavirenz | Tablet | 600 mg | Square Pharmaceuticals Ltd.
Adiz | Azithromycin Dihydrate | Tablet | 500 mg | Euro Pharma Ltd.
Adiz | Azithromycin Dihydrate | Powder for Suspension | 200 mg/5 ml | Euro Pharma Ltd.
Adiz | Azithromycin Dihydrate | Capsule | 250 mg | Euro Pharma Ltd.
Adlina | Linagliptin | Tablet | 5 mg | UniMed UniHealth Pharmaceuticals Ltd.
Adlina-EM | Empagliflozin + Linagliptin | Tablet | 10 mg+5 mg | UniMed UniHealth Pharmaceuticals Ltd.
Adlina-EM | Empagliflozin + Linagliptin | Tablet | 25 mg+5 mg | UniMed UniHealth Pharmaceuticals Ltd.
Adlinameg | Linagliptin + Metformin Hydrochloride | Tablet | 2.5 mg+500 mg | UniMed UniHealth Pharmaceuticals Ltd.
Adlinameg | Linagliptin + Metformin Hydrochloride | Tablet | 2.5 mg+850 mg | UniMed UniHealth Pharmaceuticals Ltd.
Adlock | Propranolol Hydrochloride | Tablet | 10 mg | Sonear Laboratories Ltd.
Adlock | Propranolol Hydrochloride | Tablet | 40 mg | Sonear Laboratories Ltd.
Adlorin | Desloratadine | Tablet | 5 mg | Ad-din Pharmaceuticals Ltd.
Admira | Gliclazide | Tablet | 80 mg | UniMed UniHealth Pharmaceuticals Ltd.
Admira MR | Gliclazide | Tablet (Modified Release) | 30 mg | UniMed UniHealth Pharmaceuticals Ltd.
Admox | Amoxicillin Trihydrate | Powder for Suspension | 125 mg/5 ml | Team Pharmaceuticals Ltd.
Admox DS | Amoxicillin Trihydrate | Capsule | 500 mg | Team Pharmaceuticals Ltd.
Adnix | Nitazoxanide | Tablet | 500 mg | Alco Pharma Ltd.
Adnix | Nitazoxanide | Powder for Suspension | 100 mg/5 ml | Alco Pharma Ltd.
Adnor | Doxepin (Oral) | Tablet | 3 mg | Apex Pharmaceuticals Ltd.
Adocil | Cefadroxil Monohydrate | Capsule | 500 mg | Kemiko Pharmaceuticals Ltd.
Adocil | Cefadroxil Monohydrate | Powder for Suspension | 125 mg/5 ml | Kemiko Pharmaceuticals Ltd.
Adol | Paracetamol | Tablet | 500 mg | Union Pharmaceuticals Ltd
Adol | Paracetamol | Oral Suspension | 120 mg/5 ml | Union Pharmaceuticals Ltd
Adol Plus | Paracetamol + Caffeine | Tablet | 500 mg+65 mg | Union Pharmaceuticals Ltd
Adonid | Nitazoxanide | Tablet | 500 mg | Rephco Pharmaceuticals Ltd.
Adonid DS | Nitazoxanide | Powder for Suspension | 100 mg/5 ml | Rephco Pharmaceuticals Ltd.
Adora | Cefadroxil Monohydrate | Capsule | 500 mg | Incepta Pharmaceuticals Ltd.
Adora | Cefadroxil Monohydrate | Powder for Suspension | 125 mg/5 ml | Incepta Pharmaceuticals Ltd.
Adora | Cefadroxil Monohydrate | Pediatric Drops | 125 mg/1.25 ml | Incepta Pharmaceuticals Ltd.
Adora | Cefadroxil Monohydrate | Tablet | 1000 mg | Incepta Pharmaceuticals Ltd.
Adorex | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Ambee Pharmaceuticals Ltd.
Adorex | Domperidone Maleate | Tablet | 10 mg | Ambee Pharmaceuticals Ltd.
Adorex | Domperidone Maleate | Pediatric Drops | 5 mg/ml | Ambee Pharmaceuticals Ltd.
Adrebloc | Esmolol Hydrochloride | IV Injection | 100 mg/10 ml | ZAS Corporation
Adrenaline | Adrenaline | Injection | 1 mg/ml | Techno Drugs Ltd.
Adribin | Doxorubicin Hydrochloride | IV Infusion | 2 mg/ml | Healthcare Pharmaceuticals Ltd.
Adrin | Adrenaline | Injection | 1 mg/ml | Gaco Pharmaceuticals Ltd.
Adrinor | Adrenaline | Injection | 1 mg/ml | Incepta Pharmaceuticals Ltd.
Adrox | Cefuroxime Axetil | Powder for Suspension | 125 mg/5 ml | Ad-din Pharmaceuticals Ltd.
Adryl | Diphenhydramine Hydrochloride | Syrup | 10 mg/5 ml | Square Pharmaceuticals Ltd.
ADS-10 | Sodium Chloride + Dextrose | IV Infusion | 0.225%+10% | Libra Infusions Ltd.
Adtrizin | Cetirizine Hydrochloride | Tablet | 10 mg | Team Pharmaceuticals Ltd.
Aduvit | Vitamin B complex | Capsule |  | Pacific Pharmaceuticals Ltd.
Aduvit | Vitamin B complex | Syrup |  | Pacific Pharmaceuticals Ltd.
Advast | Amlodipine Besilate + Atorvastatin | Tablet | 5 mg+10 mg | Alco Pharma Ltd.
Advel | Ibuprofen | Tablet | 200 mg | Opsonin Pharma Ltd.
Advel | Ibuprofen | Tablet | 400 mg | Opsonin Pharma Ltd.
Advel | Ibuprofen | Oral Suspension | 100 mg/5 ml | Opsonin Pharma Ltd.
Advixa | Adalimumab | SC Injection | 40 mg/0.8 ml | Incepta Pharmaceuticals Ltd.
Adze | Albendazole | Chewable Tablet | 400 mg | Kemiko Pharmaceuticals Ltd.
Aenixit | Flupentixol + Melitracen | Tablet | 0.5 mg+10 mg | Albion Laboratories Limited
Aerodyl | Bambuterol Hydrochloride | Tablet | 10 mg | Silva Pharmaceuticals Ltd.
Aerodyl | Bambuterol Hydrochloride | Tablet | 20 mg | Silva Pharmaceuticals Ltd.
Aerodyl | Bambuterol Hydrochloride | Oral Solution | 5 mg/5 ml | Silva Pharmaceuticals Ltd.
Aerofen | Ketotifen Fumarate (Oral) | Tablet | 1 mg | Silva Pharmaceuticals Ltd.
Aerofen | Ketotifen Fumarate (Oral) | Syrup | 1 mg/5 ml | Silva Pharmaceuticals Ltd.
Aeron | Montelukast Sodium | Tablet | 10 mg | Healthcare Pharmaceuticals Ltd.
Aeron | Montelukast Sodium | Oral Powder | 4 mg/3.5 gm | Healthcare Pharmaceuticals Ltd.
Aeron FT | Montelukast Sodium | Dispersible Tablet | 4 mg | Healthcare Pharmaceuticals Ltd.
Aeron FT | Montelukast Sodium | Dispersible Tablet | 5 mg | Healthcare Pharmaceuticals Ltd.
Aeronid | Budesonide (Inhaler) | Inhaler | 200 mcg/puff | Beximco Pharmaceuticals Ltd.
Aeropac | Simethicone | Pediatric Drops | 67 mg/ml | Amico Laboratories Ltd.
Aerophin | Racepinephrine | Respirator Solution | 11.25 mg/0.5 ml | Incepta Pharmaceuticals Ltd.
Aerovil | Pheniramine Maleate | Syrup | 15 mg/5 ml | Beximco Pharmaceuticals Ltd.
Aexidal | Mebhydrolin Napadisylate | Tablet | 50 mg | Albion Laboratories Limited
Afatin | Afatinib Dimaleate | Tablet | 40 mg | Beacon Pharmaceuticals Ltd.
Afexa | Fexofenadine Hydrochloride | Tablet | 120 mg | UniMed UniHealth Pharmaceuticals Ltd.
Afexa | Fexofenadine Hydrochloride | Tablet | 180 mg | UniMed UniHealth Pharmaceuticals Ltd.
Afexa | Fexofenadine Hydrochloride | Oral Suspension | 30 mg/5 ml | UniMed UniHealth Pharmaceuticals Ltd.
Afinitor | Everolimus | Tablet | 10 mg | Novartis (Bangladesh) Ltd.
Afinitor | Everolimus | Tablet | 5 mg | Novartis (Bangladesh) Ltd.
Afix | Cefixime Trihydrate | Capsule | 200 mg | Aristopharma Ltd.
Afix | Cefixime Trihydrate | Capsule | 400 mg | Aristopharma Ltd.
Afix | Cefixime Trihydrate | Powder for Suspension | 100 mg/5 ml | Aristopharma Ltd.
Afix | Cefixime Trihydrate | Tablet | 200 mg | Aristopharma Ltd.
Afix | Cefixime Trihydrate | Tablet | 400 mg | Aristopharma Ltd.
Afix DS | Cefixime Trihydrate | Powder for Suspension | 200 mg/5 ml | Aristopharma Ltd.
Afixime | Cefixime Trihydrate | Capsule | 200 mg | Asiatic Laboratories Ltd.
Afixime | Cefixime Trihydrate | Capsule | 400 mg | Asiatic Laboratories Ltd.
Afixime | Cefixime Trihydrate | Powder for Suspension | 100 mg/5 ml | Asiatic Laboratories Ltd.
Afixime | Cefixime Trihydrate | Pediatric Drops | 25 mg/ml | Asiatic Laboratories Ltd.
Afluzole | Fluconazole | Powder for Suspension | 50 mg/5 ml | Ambee Pharmaceuticals Ltd.
Afluzole | Fluconazole | Capsule | 150 mg | Ambee Pharmaceuticals Ltd.
Afluzole | Fluconazole | Capsule | 50 mg | Ambee Pharmaceuticals Ltd.
AFM | Fluorometholone Acetate | Ophthalmic Suspension | 0.1% | Aristopharma Ltd.
AFM-Plus | Fluorometholone + Gentamicin | Ophthalmic Suspension | 0.1%+0.3% | Aristopharma Ltd.
AFM-Plus | Fluorometholone + Gentamicin | Ophthalmic Ointment | 0.1%+0.3% | Aristopharma Ltd.
AFM-T | Fluorometholone + Tetrahydrozoline | Ophthalmic Solution | 0.1%+0.025% | Aristopharma Ltd.
Afrin | Oxymetazoline Hydrochloride (Nasal Preparation) | Nasal Drop | 0.025% | Aristopharma Ltd.
Afrin | Oxymetazoline Hydrochloride (Nasal Preparation) | Nasal Drop | 0.05% | Aristopharma Ltd.
Afrin | Oxymetazoline Hydrochloride (Cream) | Cream | 1% | Aristopharma Ltd.
Afun | Clotrimazole (Topical) | Cream | 1% | Square Pharmaceuticals Ltd.
Afun VT | Clotrimazole (Vaginal tablet) | Vaginal Tablet | 200 mg | Square Pharmaceuticals Ltd.
Afuvin | Griseofulvin [Microsize] | Tablet | 500 mg | Ambee Pharmaceuticals Ltd.
Age M | Betacarotene + Vitamin C + Vitamin E | Tablet | 6 mg+200 mg+50 mg | Mystic Pharmaceuticals Ltd.
Age Plus | Super antioxidant [vitamins & minerals] | Tablet |  | Mystic Pharmaceuticals Ltd.
Agedefy | Betacarotene + Vitamin C + Vitamin E | Tablet | 6 mg+200 mg+50 mg | Medimet Pharmaceuticals Ltd.
Aggra | Sildenafil Citrate | Tablet | 50 mg | Eskayef Pharmaceuticals Ltd.
Aggra | Sildenafil Citrate | Tablet | 100 mg | Eskayef Pharmaceuticals Ltd.
Aggreno | Aspirin + Dipyridamole | Capsule (Extended Release) | 25 mg+200 mg | Ziska Pharmaceuticals Ltd.
Aglip | Alogliptin Benzoate | Tablet | 12.5 mg | Eskayef Pharmaceuticals Ltd.
Aglip | Alogliptin Benzoate | Tablet | 25 mg | Eskayef Pharmaceuticals Ltd.
Agorest | Agomelatine | Tablet | 25 mg | Everest Pharmaceuticals Ltd.
Agotin | Agomelatine | Tablet | 25 mg | Beacon Pharmaceuticals Ltd.
Agoxin | Digoxin | Tablet | 0.25 mg | Aristopharma Ltd.
AH | Albendazole | Chewable Tablet | 400 mg | Drug International Ltd.
AH | Albendazole | Oral Suspension | 200 mg/5 ml | Drug International Ltd.
Aid | Diclofenac Sodium | Tablet | 50 mg | Premier Pharmaceuticals Ltd.
Aid SR | Diclofenac Sodium | Tablet (Sustained Release) | 100 mg | Premier Pharmaceuticals Ltd.
Aid TR | Diclofenac Sodium | Capsule (Timed Release) | 100 mg | Premier Pharmaceuticals Ltd.
Aire | Levosalbutamol (Oral) | Tablet | 1 mg | Delta Pharma Ltd.
Aire | Levosalbutamol (Oral) | Tablet | 2 mg | Delta Pharma Ltd.
AirFlow | Montelukast Sodium | Tablet | 10 mg | Ad-din Pharmaceuticals Ltd.
Airjoy | Glycopyrronium Bromide (Respirator Solution) | Respirator Solution | 25 mcg/ml | ACME Laboratories Ltd.
Airmont | Montelukast Sodium | Tablet | 10 mg | Goodman Pharmaceuticals Ltd.
Airnaaf | Ketotifen Fumarate (Oral) | Syrup | 1 mg/5 ml | Naafco Pharma Ltd.
Airpro | Levosalbutamol (Oral) | Syrup | 1 mg/5 ml | Everest Pharmaceuticals Ltd.
Airup | Montelukast Sodium | Tablet | 10 mg | Pharmasia Limited
Airup | Montelukast Sodium | Chewable Tablet | 5 mg | Pharmasia Limited
Airup | Montelukast Sodium | Chewable Tablet | 4 mg | Pharmasia Limited
Airway | Montelukast Sodium | Tablet | 5 mg | One Pharma Ltd.
Airway | Montelukast Sodium | Tablet | 10 mg | One Pharma Ltd.
Airway | Montelukast Sodium | Tablet | 4 mg | One Pharma Ltd.
Ajardy | Empagliflozin | Tablet | 10 mg | Ziska Pharmaceuticals Ltd.
Ajardy | Empagliflozin | Tablet | 25 mg | Ziska Pharmaceuticals Ltd.
Ajardy M | Empagliflozin + Metformin Hydrochloride | Tablet | 5 mg+500 mg | Ziska Pharmaceuticals Ltd.
Ajuben | Deutetrabenazine | Tablet | 6 mg | Incepta Pharmaceuticals Ltd.
Ajuben | Deutetrabenazine | Tablet | 12 mg | Incepta Pharmaceuticals Ltd.
Ajwa | Atorvastatin Calcium | Tablet | 10 mg | Desh Pharmaceuticals Ltd.
Akarvia | Favipiravir | Tablet | 200 mg | Incepta Pharmaceuticals Ltd.
Akicin | Amikacin | IM/IV Injection | 500 mg/2 ml | Square Pharmaceuticals Ltd.
Akicin | Amikacin | IM/IV Injection | 100 mg/2 ml | Square Pharmaceuticals Ltd.
Aknill | Isotretinoin (Topical) | Topical Gel | 0.05% | Incepta Pharmaceuticals Ltd.
Akno | Isotretinoin (Oral) | Capsule | 10 mg | Drug International Ltd.
Aktivex | Naproxen Sodium | Tablet | 500 mg | Opso Saline Limited
Aktivex | Naproxen Sodium | Tablet | 250 mg | Opso Saline Limited
AL-D3 | Cholecalciferol [Vitamin D3] | Capsule | 20000 IU | Albion Laboratories Limited
AL-D3 | Cholecalciferol [Vitamin D3] | Capsule | 40000 IU | Albion Laboratories Limited
AL-DS | Albendazole | Chewable Tablet | 400 mg | Globe Pharmaceuticals Ltd.
ALA | Alpha Lipoic Acid | Capsule | 500 mg | Total Herbal & Nutraceuticals
Alaclov | Valacyclovir | Tablet | 500 mg | ACI Limited
Alacot | Olopatadine Hydrochloride (Ophthalmic) | Ophthalmic Solution | 0.1% | Square Pharmaceuticals Ltd.
Alacot DS | Olopatadine Hydrochloride (Ophthalmic) | Ophthalmic Solution | 0.2% | Square Pharmaceuticals Ltd.
Alacot Max | Olopatadine Hydrochloride (Ophthalmic) | Ophthalmic Solution | 0.7% | Square Pharmaceuticals Ltd.
Aladay | Olopatadine Hydrochloride (Ophthalmic) | Ophthalmic Solution | 0.1% | Eskayef Pharmaceuticals Ltd.
Aladay DS | Olopatadine Hydrochloride (Ophthalmic) | Ophthalmic Solution | 0.2% | Eskayef Pharmaceuticals Ltd.
Aladay Max | Olopatadine Hydrochloride (Ophthalmic) | Ophthalmic Solution | 0.7% | Eskayef Pharmaceuticals Ltd.
Aladin | Rupatadine Fumarate | Tablet | 10 mg | Ad-din Pharmaceuticals Ltd.
Alafree | Fexofenadine Hydrochloride | Tablet | 120 mg | Apex Pharmaceuticals Ltd.
Alafree | Fexofenadine Hydrochloride | Oral Suspension | 30 mg/5 ml | Apex Pharmaceuticals Ltd.
Alagra | Fexofenadine Hydrochloride | Tablet | 30 mg | Alco Pharma Ltd.
Alagra | Fexofenadine Hydrochloride | Tablet | 120 mg | Alco Pharma Ltd.
Alagra | Fexofenadine Hydrochloride | Tablet | 180 mg | Alco Pharma Ltd.
Alagra | Fexofenadine Hydrochloride | Oral Suspension | 30 mg/5 ml | Alco Pharma Ltd.
Alagra | Fexofenadine Hydrochloride | Tablet | 60 mg | Alco Pharma Ltd.
Alanil | Fexofenadine Hydrochloride | Tablet | 120 mg | ACME Laboratories Ltd.
Alanil | Fexofenadine Hydrochloride | Tablet | 180 mg | ACME Laboratories Ltd.
Alanil | Fexofenadine Hydrochloride | Oral Suspension | 30 mg/5 ml | ACME Laboratories Ltd.
Alargol | Cetirizine Hydrochloride | Syrup | 5 mg/5 ml | Ethical Drugs Limited
Alargol | Cetirizine Hydrochloride | Tablet | 10 mg | Ethical Drugs Limited
Alarid | Ketotifen Fumarate (Oral) | Tablet | 1 mg | Square Pharmaceuticals Ltd.
Alarid | Ketotifen Fumarate (Oral) | Syrup | 1 mg/5 ml | Square Pharmaceuticals Ltd.
Alarid | Ketotifen Fumarate (Ophthalmic) | Ophthalmic Solution | 0.025% | Square Pharmaceuticals Ltd.
Alaron | Loratadine | Tablet | 10 mg | ACI Limited
Alaron | Loratadine | Oral Suspension | 5 mg/5 ml | ACI Limited
Alartn | Cetirizine Hydrochloride | Syrup | 5 mg/5 ml | Alkad Laboratories
Alarup | Rupatadine Fumarate | Tablet | 10 mg | Popular Pharmaceuticals Ltd.
Alat | Cetirizine Hydrochloride | Tablet | 10 mg | Premier Pharmaceuticals Ltd.
Alater | Cetirizine Hydrochloride | Tablet | 10 mg | Bengal drugs Ltd.
Alatin | Cetirizine Hydrochloride | Tablet | 10 mg | Concord Pharmaceuticals Ltd.
Alatrol | Cetirizine Hydrochloride | Tablet | 10 mg | Square Pharmaceuticals Ltd.
Alatrol | Cetirizine Hydrochloride | Syrup | 5 mg/5 ml | Square Pharmaceuticals Ltd.
Alatrol | Cetirizine Hydrochloride | Pediatric Drops | 2.5 mg/ml | Square Pharmaceuticals Ltd.
Alaxen | Alprazolam | Tablet | 0.25 mg | United Pharmaceuticals Ltd.
Alaxen | Alprazolam | Tablet | 0.5 mg | United Pharmaceuticals Ltd.
Alba | Albendazole | Chewable Tablet | 400 mg | Navana Pharmaceuticals Ltd.
Albafen | Baclofen | Tablet | 10 mg | Allied Pharmaceuticals Ltd.
Albamax DS | Albendazole | Chewable Tablet | 400 mg | Ziska Pharmaceuticals Ltd.
Albaplex | Vitamin B complex | Syrup |  | Aexim Pharmaceuticals Ltd.
Albasine | Almitrine Bismesylate + Raubasine | Tablet | 30 mg+10 mg | Drug International Ltd.
Albatab | Vitamin B complex | Tablet |  | Aexim Pharmaceuticals Ltd.
Albazol DS | Albendazole | Chewable Tablet | 400 mg | Central Pharmaceuticals Ltd.
Alben | Albendazole | Oral Suspension | 200 mg/5 ml | Eskayef Pharmaceuticals Ltd.
Alben DS | Albendazole | Chewable Tablet | 400 mg | Eskayef Pharmaceuticals Ltd.
Albenda DS | Albendazole | Chewable Tablet | 400 mg | Aexim Pharmaceuticals Ltd.
Albendol | Albendazole | Chewable Tablet | 400 mg | Globex Pharmaceuticals Ltd.
Albendol | Albendazole | Oral Suspension | 200 mg/5 ml | Globex Pharmaceuticals Ltd.
Albendox | Albendazole | Chewable Tablet | 400 mg | Indo Bangla Pharmaceutical
Albentas | Albendazole | Chewable Tablet | 400 mg | Veritas Pharmaceuticals Ltd.
Amoclav Forte | Amoxicillin + Clavulanic Acid | Powder for Suspension | (400 mg+57.50 mg)/5 ml | Techno Drugs Ltd.
Amodis | Metronidazole | Oral Suspension | 200 mg/5 ml | Square Pharmaceuticals Ltd.
Amodis | Metronidazole | Tablet | 400 mg | Square Pharmaceuticals Ltd.
Amodis | Metronidazole | IV Infusion | 500 mg/100 ml | Square Pharmaceuticals Ltd.
Amogit | Metronidazole | Tablet | 400 mg | Marksman Pharmaceuticals Ltd.
Amorox | Ambroxol Hydrochloride | Syrup | 15 mg/5 ml | United Pharmaceuticals Ltd.
Amotid | Amoxicillin Trihydrate | Capsule | 250 mg | Biopharma Laboratories Ltd.
Amotid | Amoxicillin Trihydrate | Pediatric Drops | 125 mg/1.25 ml | Biopharma Laboratories Ltd.
Amotid | Amoxicillin Trihydrate | Capsule | 500 mg | Biopharma Laboratories Ltd.
Amotid | Amoxicillin Trihydrate | Powder for Suspension | 125 mg/5 ml | Biopharma Laboratories Ltd.
Amotid CL | Amoxicillin + Clavulanic Acid | Powder for Suspension | (125 mg+31.25 mg)/5 ml | Biopharma Laboratories Ltd.
Amotid CL | Amoxicillin + Clavulanic Acid | Tablet | 500 mg+125 mg | Biopharma Laboratories Ltd.
Amotid F | Amoxicillin Trihydrate | Powder for Suspension | 250 mg/5 ml | Biopharma Laboratories Ltd.
Amotrex | Metronidazole | Oral Suspension | 200 mg/5 ml | ACI Limited
Amotrex | Metronidazole | IV Infusion | 500 mg/100 ml | ACI Limited
Amotrex | Metronidazole | Tablet | 400 mg | ACI Limited
Amotrex | Metronidazole | Tablet | 200 mg | ACI Limited
Amotrex DS | Metronidazole | Tablet | 800 mg | ACI Limited
Amovast | Amlodipine Besilate + Atorvastatin | Tablet | 5 mg+10 mg | Beacon Pharmaceuticals Ltd.
Amox | Amoxicillin Trihydrate | Powder for Suspension | 125 mg/5 ml | Doctor’s Chemical Works Ltd.
Amox | Amoxicillin Trihydrate | Pediatric Drops | 125 mg/1.25 ml | Doctor’s Chemical Works Ltd.
Amox | Amoxicillin Trihydrate | Capsule | 250 mg | Doctor’s Chemical Works Ltd.
Amox | Amoxicillin Trihydrate | Capsule | 500 mg | Doctor’s Chemical Works Ltd.
Amoxic | Amoxicillin Trihydrate | Powder for Suspension | 125 mg/5 ml | Cosmo Pharma Laboratories Ltd.
Amoxic | Amoxicillin Trihydrate | Capsule | 250 mg | Cosmo Pharma Laboratories Ltd.
Amoxic | Amoxicillin Trihydrate | Capsule | 500 mg | Cosmo Pharma Laboratories Ltd.
Amoxicon | Amoxicillin Trihydrate | Capsule | 250 mg | Medicon Pharmaceuticals Ltd.
Amoxicon | Amoxicillin Trihydrate | Powder for Suspension | 125 mg/5 ml | Medicon Pharmaceuticals Ltd.
Amoxicon | Amoxicillin Trihydrate | Capsule | 500 mg | Medicon Pharmaceuticals Ltd.
Amoxikil | Amoxicillin Trihydrate | Capsule | 500 mg | Veritas Pharmaceuticals Ltd.
Aristovit M | Multivitamin & Multimineral | Tablet |  | Beximco Pharmaceuticals Ltd.
Aristovit X | Super antioxidant [vitamins & minerals] | Tablet |  | Beximco Pharmaceuticals Ltd.
Aritone | Multivitamin [Vitamin B complex + Vitamin C] | IV Injection or Infusion | 10 ml/vial | Incepta Pharmaceuticals Ltd.
Aritone Z | Vitamin B Complex + Zinc | Syrup |  | Incepta Pharmaceuticals Ltd.
Aritone Z | Vitamin B Complex + Zinc | Tablet |  | Incepta Pharmaceuticals Ltd.
Aritone ZI | Iron Polymaltose Complex + Vitamin B Complex + Zinc | Syrup |  | Incepta Pharmaceuticals Ltd.
Arixon | Ceftriaxone Sodium | IM Injection | 500 mg/vial | Beximco Pharmaceuticals Ltd.
Arixon | Ceftriaxone Sodium | IV Injection | 1 gm/vial | Beximco Pharmaceuticals Ltd.
